1,2,1
1,3,1
1,4,2
1,5,2
1,6,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,2
1,14,1
2,1,1
2,2,3
2,3,1
2,4,1
2,5,2
2,6,1
2,8,1
2,9,1
2,10,2
2,11,1
2,12,1
2,13,3
2,14,1
3,1,2
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,1
3,14,2
4,2,1
4,3,1
4,5,1
4,8,1
4,9,1
4,10,2
4,11,1
4,12,1
4,13,1
4,14,2
5,2,2
5,3,1
5,4,1
5,5,1
5,6,1
5,8,1
5,9,1
5,10,1
5,11,1
5,12,2
5,13,1
6,1,2
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
6,10,2
6,11,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,2
7,8,1
7,9,1
7,10,1
7,11,1
7,12,2
7,13,1
7,14,2
8,1,2
8,2,2
8,3,2
8,4,1
8,6,1
8,7,2
8,8,1
8,9,1
8,12,1
8,13,1
8,14,2
9,1,2
9,2,1
9,3,1
9,4,1
9,5,1
9,7,1
9,8,1
9,9,2
9,10,1
9,11,1
9,13,1
9,14,2
10,1,2
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,8,1
10,9,1
10,10,1
10,11,1
10,13,1
10,14,2
11,1,1
11,2,2
11,3,1
11,4,1
11,5,2
11,6,1
11,8,1
11,9,2
11,10,1
11,11,2
11,12,1
11,14,1
12,1,1
12,2,2
12,3,1
12,4,2
12,5,1
12,6,4
12,8,5
12,9,2
12,10,1
12,11,2
12,12,1
12,13,1
12,14,2
13,1,1
13,2,2
13,3,1
13,4,1
13,5,2
13,6,1
13,8,1
13,9,2
13,10,1
13,11,2
13,12,1
13,13,1
13,14,1
14,1,1
14,2,1
14,3,2
14,4,1
14,5,1
14,6,1
14,8,1
14,9,1
14,10,1
14,11,1
14,12,1
14,13,1
14,14,2
